Lp;Nazwa jednostki;Regon;Kraj;Województwo;Powiat;Gmina;Miejscowo??;Kod pocztowy;Ulica;Numer budynku;Numer lokalu;Kraj;Województwo;Powiat;Gmina;Miejscowo??;Kod pocztowy;Ulica;Numer budynku;Numer lokalu;Teren dzia?ania;Telefon kontaktowy;Adres email do korespondencji;Okres dzia?ania od;Okres dzia?ania do;Liczebno?? jednostki;Okres pozostawania w gotowo?ci w ci?gu roku od 1;Okres pozostawania w gotowo?ci w ci?gu roku do 1;Czas pozostawania w gotowo?ci w ci?gu doby (w godzinach) 1;Czas osi?gni?cia gotowo?ci (w minutach) 1;Liczebno?? jednostki 1;Rodzaj jednostki;Rodzaj ratownictwa
2309;OSP RADZIEJOWICE;750421175;PL;MAZOWIECKIE;?yrardowski;Radziejowice;Radziejowice;96-325;ul. Przemys?owa;1;;PL;MAZOWIECKIE;?yrardowski;Radziejowice;Radziejowice;96-325;ul. Przemys?owa;1;;MAZOWIECKIE/?yrardowski/Wszystkie;468577192;ospradziejowice@wp.pl;;;;1 stycze?;31 grudzie?;24;30/24;6;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2310;OSP KORYTÓW;15344357;PL;MAZOWIECKIE;?yrardowski;Radziejowice;Korytów;96-300;ul. G?ówna;125;;PL;MAZOWIECKIE;?yrardowski;Radziejowice;Korytów;96-300;ul. G?ówna;125;;MAZOWIECKIE/?yrardowski/Wszystkie;608620532;korytow@web.osp.org.pl;;;;1 stycze?;31 grudzie?;24;30/24;13;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2311;OSP KUKLÓWKA ZARZECZNA;750077080;PL;MAZOWIECKIE;?yrardowski;Radziejowice;Kuklówka Zarzeczna;96-325;ul. Jaktorowska;16;;PL;MAZOWIECKIE;?yrardowski;Radziejowice;Kuklówka Zarzeczna;96-325;ul. Jaktorowska;16;;MAZOWIECKIE/?yrardowski/Wszystkie;508643177;kuklowkaosp@gmail.com;;;;1 stycze?;31 grudzie?;24;30/24;5;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2312;OSP WISKITKI;16287118;PL;MAZOWIECKIE;?yrardowski;Wiskitki;Wiskitki;96-315;ul. ?yrardowska;3;;PL;MAZOWIECKIE;?yrardowski;Wiskitki;Wiskitki;96-315;ul. ?yrardowska;3;;MAZOWIECKIE/?yrardowski/Wszystkie;668058051;ospwiskitki@interia.pl;;;;1 stycze?;31 grudzie?;24;30/24;2;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2313;Ochotnicza Stra? Po?arna w ??cku;610990022;PL;MAZOWIECKIE;p?ocki;??ck;??ck;09-520;ul. Warszawska;39;;PL;MAZOWIECKIE;p?ocki;??ck;??ck;09-520;ul. Warszawska;39;;MAZOWIECKIE/p?ocki/Wszystkie;243667800;plock@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;15/24;21;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
2314;Ochotnicza Stra? Po?arna w Nowym Duninowie;611072370;PL;MAZOWIECKIE;p?ocki;Nowy Duninów;Nowy Duninów;09-505;ul. Plac Stra?acki;1;;PL;MAZOWIECKIE;p?ocki;Nowy Duninów;Nowy Duninów;09-505;ul. Plac Stra?acki;1;;MAZOWIECKIE/p?ocki/Wszystkie;243667800;plock@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;15/24;26;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo poszukiwawcze 
2315;Ochotnicza Stra? Po?arna w S?ubicach;610411722;PL;MAZOWIECKIE;p?ocki;S?ubice;S?ubice;09-533;ul. P?ocka;59a;;PL;MAZOWIECKIE;p?ocki;S?ubice;S?ubice;09-533;ul. P?ocka;59a;;MAZOWIECKIE/p?ocki/Wszystkie;243667800;plock@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;15/24;27;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo ekologiczne , Ratownictwo poszukiwawcze 
2316;Ochotnicza Stra? Po?arna w Dobrzykowie;611406686;PL;MAZOWIECKIE;p?ocki;G?bin;Dobrzyków;09-530;ul. Stra?acka;9;;PL;MAZOWIECKIE;p?ocki;G?bin;Dobrzyków;09-530;ul. Stra?acka;9;;MAZOWIECKIE/p?ocki/G?bin (miasto), MAZOWIECKIE/p?ocki/Wszystkie;243667800;plock@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;15/24;29;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo poszukiwawcze 
2317;Ochotnicza Stra? Po?arna w Bodzanowie;610387840;PL;MAZOWIECKIE;p?ocki;Bodzanów;Bodzanów;09-470;ul. G?owackiego;22;;PL;MAZOWIECKIE;p?ocki;Bodzanów;Bodzanów;09-470;ul. G?owackiego;22;;MAZOWIECKIE/p?ocki/Wszystkie;243667800;plock@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;15/24;30;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
2318;OSP Ka?uszyn;16455716;PL;MAZOWIECKIE;legionowski;Wieliszew;Ka?uszyn;05-124;ul. Adama Mickiewicza;7;;PL;MAZOWIECKIE;legionowski;Wieliszew;Ka?uszyn;05-124;ul. Adama Mickiewicza;7;;MAZOWIECKIE/legionowski/Wieliszew (gmina wiejska);504018414;bartek.osp@vp.pl;;;;1 stycze?;1 grudzie?;24;15/24;33;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
2319;Ochotnicza Stra? Po?arna w Bulkowie;611061253;PL;MAZOWIECKIE;p?ocki;Bulkowo;Bulkowo;09-454;;26A;;PL;MAZOWIECKIE;p?ocki;Bulkowo;Bulkowo;09-454;;26A;;MAZOWIECKIE/p?ocki/Wszystkie;243667800;plock@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;15/24;19;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo poszukiwawcze 
2320;JRG 12 KM PSP m. st. Warszawy;13292107;PL;MAZOWIECKIE;Warszawa;;Warszawa;04-840;ul. Tomaszowska;4;;PL;MAZOWIECKIE;Warszawa;Wawer;Warszawa;04-840;ul. Tomaszowska;4;;Wszystkie;22 596 71 20;jrg12@warszawa-straz.pl;;;;1 stycze?;31 grudzie?;24;sty.24;41;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2321;Ochotnicza Stra? Po?arna w Starych Ga?kach;611053259;PL;MAZOWIECKIE;p?ocki;Ma?a Wie?;Stare Ga?ki;09-460;;25;;PL;MAZOWIECKIE;p?ocki;Ma?a Wie?;Stare Ga?ki;09-460;;25;;MAZOWIECKIE/p?ocki/Wszystkie;243667800;plock@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;15/24;26;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo poszukiwawcze 
2322;Ochotnicza Stra? Po?arna w Kanigowie;610331331;PL;MAZOWIECKIE;p?ocki;Bodzanów;Kanigowo;09-470;;23;;PL;MAZOWIECKIE;p?ocki;Bodzanów;Kanigowo;09-470;;23;;MAZOWIECKIE/p?ocki/Wszystkie;243667800;plock@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;15/24;35;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
2323;JRG 8 KM PSP m.st. Warszawy;13292107;PL;MAZOWIECKIE;Warszawa;Praga-Po?udnie;Warszawa;04-110;ul. Majda?ska;38/40;;PL;MAZOWIECKIE;Warszawa;Praga-Po?udnie;Warszawa;04-110;ul. Majda?ska;38/40;;MAZOWIECKIE/Warszawa/Wszystkie;22 596 70 80;jrg8@warszawa-straz.pl;;;;1 stycze?;31 grudzie?;24;sty.24;77;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
2324;JRG 5 KM PSP m. st. Warszawy;13292107;PL;MAZOWIECKIE;Warszawa;Praga-Pó?noc;Warszawa;03-722;ul. Karola Marcinkowskiego;2;;PL;MAZOWIECKIE;Warszawa;Praga-Pó?noc;Warszawa;03-722;ul. Karola Marcinkowskiego;2;;MAZOWIECKIE/Warszawa/Wszystkie;225 967 050;jrg5@warszawa-straz.pl;;;;1 stycze?;31 grudzie?;24;sty.24;68;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
2325;"JRG 17 KM PSP m. st. Warszawy	";13292107;PL;MAZOWIECKIE;Warszawa;?ródmie?cie;Warszawa;00-622;ul. Polna;1;;PL;MAZOWIECKIE;Warszawa;Ursynów;Warszawa;02-778;ul. Filipiny P?askowickiej;40;;MAZOWIECKIE/Warszawa/Wszystkie;225967170;jrg17@warszawa-straz.pl;;;;1 stycze?;31 grudzie?;24;sty.24;49;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne 
2326;Jednostka Ratowniczo - Ga?nicza nr 4 KM PSP m. st. Warszawy;13292107;PL;MAZOWIECKIE;Warszawa;Wola;Warszawa;00-891;ul. Ch?odna;3;;PL;MAZOWIECKIE;Warszawa;Wola;Warszawa;00-891;ul. Ch?odna;3;;MAZOWIECKIE/Warszawa/Wszystkie;225967040;jrg4@warszawa-straz.pl;;;;1 stycze?;31 grudzie?;24;sty.24;69;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
2327;OSP Olszanka;30204446;PL;MAZOWIECKIE;?osicki;Olszanka;Olszanka;08-207;;37A;;PL;MAZOWIECKIE;?osicki;Olszanka;Olszanka;08-207;;37A;;MAZOWIECKIE/?osicki/Wszystkie;609959998;losice@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;maj.24;17;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2328;KP PSP w  ?osicach;711620442;PL;MAZOWIECKIE;?osicki;?osice;?osice;08-200;ul. Kolejowa;2A;;PL;MAZOWIECKIE;?osicki;?osice;?osice;08-200;ul. Kolejowa;2A;;MAZOWIECKIE/?osicki/Wszystkie;609959998;losice@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;sty.24;45;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
2329;Ochotnicza Stra? Po?arna w Ma?ej Wsi;611376063;PL;MAZOWIECKIE;p?ocki;Ma?a Wie?;Ma?a Wie?;09-460;ul. Warszawska;31;9;PL;MAZOWIECKIE;p?ocki;Ma?a Wie?;Ma?a Wie?;09-460;ul. Warszawska;31;9;MAZOWIECKIE/p?ocki/Wszystkie;243667800;plock@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;15/24;24;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
2330;OSP Platerów;30204268;PL;MAZOWIECKIE;?osicki;Platerów;Platerów;08-210;ul. Dworcowa;23;;PL;MAZOWIECKIE;?osicki;Platerów;Platerów;08-210;ul. Dworcowa;23;;MAZOWIECKIE/?osicki/Wszystkie;609959998;losice@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;maj.24;24;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2331;Ochotnicza Stra? Po?arna w Nies?uchowie;610321775;PL;MAZOWIECKIE;p?ocki;Bodzanów;Nies?uchowo;09-470;;21;;PL;MAZOWIECKIE;p?ocki;Bodzanów;Nies?uchowo;09-470;;21;;MAZOWIECKIE/p?ocki/Wszystkie;243667800;plock@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;15/24;22;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
2332;Ochotnicza Stra? Po?arna w S?upnie;611053970;PL;MAZOWIECKIE;p?ocki;S?upno;S?upno;09-472;ul. Warszawska;15;;PL;MAZOWIECKIE;p?ocki;S?upno;S?upno;09-472;ul. Warszawska;15;;MAZOWIECKIE/p?ocki/Wszystkie;243667800;plock@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;15/24;39;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo poszukiwawcze 
2333;OSP Lipno;30204200;PL;MAZOWIECKIE;?osicki;Platerów;Lipno;08-210;;102A;;PL;MAZOWIECKIE;?osicki;Platerów;Lipno;08-210;;102A;;MAZOWIECKIE/?osicki/Wszystkie;609959998;losice@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;maj.24;15;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2334;KP PSP w Powiecie Warszawskim Zachodnim;16181800;PL;MAZOWIECKIE;warszawski zachodni;B?onie;B?onie;05-870;ul. Lesznowska;20;a;PL;MAZOWIECKIE;warszawski zachodni;B?onie;B?onie;05-870;ul. Lesznowska;20;a;MAZOWIECKIE/warszawski zachodni/Wszystkie;227 255 293;warszawazach@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;mar.24;52;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
2335;Ochotnicza Stra? Po?arna w Wyszogrodzie;611056163;PL;MAZOWIECKIE;p?ocki;Wyszogród;Wyszogród;09-450;ul. Niepodleg?o?ci;6;;PL;MAZOWIECKIE;p?ocki;Wyszogród;Wyszogród;09-450;ul. Niepodleg?o?ci;6;;MAZOWIECKIE/p?ocki/Wyszogród (miasto), MAZOWIECKIE/p?ocki/Wszystkie;243667800;plock@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;15/24;35;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo poszukiwawcze 
2336;Ochotnicza Stra? Po?arna w Grodzisku Mazowieckim;17514697;PL;MAZOWIECKIE;grodziski;Grodzisk Mazowiecki;Grodzisk Mazowiecki;05-825;ul. ?wirki i Wigury;10;;PL;MAZOWIECKIE;grodziski;Grodzisk Mazowiecki;Grodzisk Mazowiecki;05-825;ul. ?wirki i Wigury;10;;MAZOWIECKIE/Wszystkie;508123179;kontakt@ospgrodzisk.pl;;;;1 stycze?;31 grudzie?;24;15/24;20;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne 
2337;Jednostka Ratowniczo - Ga?nicza PSP w Grodzisku Mazowieckim;13298848;PL;MAZOWIECKIE;grodziski;Grodzisk Mazowiecki;Grodzisk Mazowiecki;05-825;ul. ?ydowska;7;;PL;MAZOWIECKIE;grodziski;Grodzisk Mazowiecki;Grodzisk Mazowiecki;05-825;ul. ?ydowska;7;;Wszystkie;227555237;grodzisk@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;mar.24;57;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne 
2338;OSP Stare Babice;15274600;PL;MAZOWIECKIE;warszawski zachodni;Stare Babice;Babice Nowe;05-082;ul. Wieruchowska;5;;PL;MAZOWIECKIE;warszawski zachodni;Stare Babice;Babice Nowe;05-082;ul. Wieruchowska;5;;MAZOWIECKIE/warszawski zachodni/Stare Babice (gmina wiejska);227229016;ospbabice@ospbabice.waw.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;36;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2339;KP PSP Wo?omin;13298819;PL;MAZOWIECKIE;wo?omi?ski;Wo?omin;Wo?omin;05-200;ul. Sasina;15;;PL;MAZOWIECKIE;wo?omi?ski;Wo?omin;Wo?omin;05-200;ul. Sasina;15;;MAZOWIECKIE/wo?omi?ski/Wszystkie;783938686;wolomin@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;lut.24;93;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne 
2340;Komenda Powiatowa Pa?stwowej Stra?y Po?arnej w Gostyninie - Jednostka Ratowniczo Ga?nicza  w Gostyninie;610946245;PL;MAZOWIECKIE;gostyni?ski;Gostynin;Gostynin;09-500;ul. Przemys?owa;1;;PL;MAZOWIECKIE;gostyni?ski;Gostynin;Gostynin;09-500;ul. Przemys?owa;1;;MAZOWIECKIE/gostyni?ski/Wszystkie;242360200;gostynin@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;sty.24;35;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo poszukiwawcze 
2341;Jednostka Ratowniczo - Ga?nicza nr 14;13292107;PL;MAZOWIECKIE;Warszawa;Wilanów;Warszawa;02-948; Obornicka ;21;;PL;MAZOWIECKIE;Warszawa;Wilanów;Warszawa;02-948; Obornicka ;21;;MAZOWIECKIE/Warszawa/Wszystkie;225 967 140;jrg14@warszawa-straz.pl;;;;1 stycze?;31 grudzie?;24;sty.24;41;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
2342;Jednostka Ratowniczo Ga?nicza 10;13292107;PL;MAZOWIECKIE;Warszawa;Bia?o??ka;Warszawa;03-116;ul. Czarodzieja;19;;PL;MAZOWIECKIE;Warszawa;Bia?o??ka;Warszawa;03-116;ul. Czarodzieja;19;;Wszystkie;225967100;jrg10@warszawa-straz.pl;;;;1 stycze?;31 grudzie?;24;sty.24;57;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
2343;OSP Sarnaki;30201608;PL;MAZOWIECKIE;?osicki;Sarnaki;Sarnaki;08-220;ul. Teatralna;1;;PL;MAZOWIECKIE;?osicki;Sarnaki;Sarnaki;08-220;ul. Teatralna;1;;MAZOWIECKIE/?osicki/Wszystkie;609959998;losice@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;maj.24;30;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2344;Ochotnicza Stra? Po?arna w Kochanówce;672728959;PL;MAZOWIECKIE;lipski;Sienno;Kochanówka;27-350;;7;;PL;MAZOWIECKIE;lipski;Sienno;Kochanówka;27-350;;7;;MAZOWIECKIE/lipski/Sienno (gmina wiejska);502115721;kochanowka@osp.org.pl;;;;1 stycze?;31 stycze?;24;maj.24;57;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne 
2345;OSP Serpelice;30201560;PL;MAZOWIECKIE;?osicki;Sarnaki;Serpelice;08-221;;70;;PL;MAZOWIECKIE;?osicki;Sarnaki;Serpelice;08-221;;70;;MAZOWIECKIE/?osicki/Wszystkie;609959998;losice@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;maj.24;25;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo poszukiwawcze 
2346;OSP Borz?cin Du?y;140537131;PL;MAZOWIECKIE;warszawski zachodni;Stare Babice;Borz?cin Du?y;05-083;ul. Warszawska;828;;PL;MAZOWIECKIE;warszawski zachodni;Stare Babice;Borz?cin Du?y;05-083;ul. Warszawska;828;;MAZOWIECKIE/warszawski zachodni/Stare Babice (gmina wiejska);504345960;ospborzecin@o2.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;23;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2347;Jednostka Ratowniczo Ga?nicza nr 1 w Radomiu ;670127990;PL;MAZOWIECKIE;Radom;Radom;Radom;26-600;ul. Romualda Traugutta;57;;PL;MAZOWIECKIE;Radom;Radom;Radom;26-600;ul. Romualda Traugutta;57;;Wszystkie;483688927;jrg1@straz.radom.pl;;;;1 stycze?;31 grudzie?;24;sty.24;71;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne , Ratownictwo wodne , Ratownictwo nurkowe , Ratownictwo poszukiwawcze , Ratownictwo wysoko?ciowe 
2348;Jednostka Ratowniczo Ga?nicza nr 2 w Radomiu;670127990;PL;MAZOWIECKIE;Radom;Radom;Radom;26-600;ul. Zofii Holsza?skiej;1;;PL;MAZOWIECKIE;Radom;Radom;Radom;26-600;ul. Zofii Holsza?skiej;1;;Wszystkie;483447894;jrg2@straz.radom.pl;;;;1 stycze?;31 grudzie?;24;sty.24;59;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
2349;OSP Stare Szpaki;30203168;PL;MAZOWIECKIE;?osicki;Stara Kornica;Stare Szpaki;08-205;;58;;PL;MAZOWIECKIE;?osicki;Stara Kornica;Stare Szpaki;08-205;;58;;MAZOWIECKIE/?osicki/Wszystkie;609959998;losice@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;maj.24;19;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2350;OSP Rudka;30203091;PL;MAZOWIECKIE;?osicki;Stara Kornica;Rudka;08-205;;12;;PL;MAZOWIECKIE;?osicki;Stara Kornica;Rudka;08-205;;12;;MAZOWIECKIE/?osicki/Wszystkie;609959998;losice@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;maj.24;18;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2351;OSP Zielonka;12349940;PL;MAZOWIECKIE;wo?omi?ski;Zielonka;Zielonka;05-220;ul. Adama Mickiewicza;16;;PL;MAZOWIECKIE;wo?omi?ski;Zielonka;Zielonka;05-220;ul. Adama Mickiewicza;16;;MAZOWIECKIE/wo?omi?ski/Wszystkie;227810008;ospzielonka@interia.pl;;;;1 stycze?;31 grudzie?;24;15/24;29;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne 
2352;OSP Nowa Kornica;30203197;PL;MAZOWIECKIE;?osicki;Stara Kornica;Nowa Kornica;08-205;;66B;;PL;MAZOWIECKIE;?osicki;Stara Kornica;Nowa Kornica;08-205;;66B;;MAZOWIECKIE/?osicki/Wszystkie;609959998;losice@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;maj.24;19;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2353;OSP Niemojki;30203719;PL;MAZOWIECKIE;?osicki;?osice;Niemojki;08-200;;42;;PL;MAZOWIECKIE;?osicki;?osice;Niemojki;08-200;;42;;MAZOWIECKIE/?osicki/Wszystkie;609959998;losice@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;maj.24;24;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2354;OSP Dziekanów Polski;140923874;PL;MAZOWIECKIE;warszawski zachodni;?omianki;Dziekanów Polski;05-092;ul. Rolnicza;427;;PL;MAZOWIECKIE;warszawski zachodni;?omianki;Dziekanów Polski;05-092;ul. Rolnicza;427;;MAZOWIECKIE/warszawski zachodni/?omianki (obszar wiejski);607422190;ospdziekanowpolski@gmail.com;;;;1 stycze?;31 grudzie?;24;pa?.24;21;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2355;OSP Huszlew;30202884;PL;MAZOWIECKIE;?osicki;Huszlew;Huszlew;08-206;;77;;PL;MAZOWIECKIE;?osicki;Huszlew;Huszlew;08-206;;77;;MAZOWIECKIE/?osicki/Wszystkie;609959998;losice@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;maj.24;16;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo techniczne 
2356;OSP Mostów;30202944;PL;MAZOWIECKIE;?osicki;Huszlew;Mostów;08-206;;7;;PL;MAZOWIECKIE;?osicki;Huszlew;Mostów;08-206;;7;;MAZOWIECKIE/?osicki/Wszystkie;609959998;losice@mazowsze.straz.pl;;;;1 stycze?;31 grudzie?;24;maj.24;16;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
2357;OSP O?arów Mazowiecki;14983753;PL;MAZOWIECKIE;warszawski zachodni;O?arów Mazowiecki;O?arów Mazowiecki;05-850;ul. Stra?acka;1;;PL;MAZOWIECKIE;warszawski zachodni;O?arów Mazowiecki;O?arów Mazowiecki;05-850;ul. Stra?acka;1;;MAZOWIECKIE/warszawski zachodni/O?arów Mazowiecki (miasto);227 221 998;jacek@osp-ozarow.pl;;;;1 stycze?;31 grudzie?;24;maj.24;49;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
